Country Name,Year,GDP
Bhutan,2018,11969.5614973058
Bhutan,2019,12909.1009832232
Bhutan,2020,12475.0480046964
Bhutan,2021,13458.8126642925
Bhutan,2022,15063.8105697833
Botswana,2015,14143.6940733728
Botswana,2016,16228.1231235664
Botswana,2017,15700.6650479641
Botswana,2018,15785.819633781
Botswana,2019,15960.0156143903
Botswana,2020,15292.3028420199
Botswana,2021,17961.3576218457
Botswana,2022,19977.6508534267
Botswana,2023,20916.4015457301
Central African Republic,2015,768.870887999174
Central African Republic,2016,826.013301383169
Central African Republic,2017,883.810734876066
Central African Republic,2018,905.817788941094
Central African Republic,2019,984.843183678857
Central African Republic,2020,1066.29005423151
Central African Republic,2021,1128.55237996459
Central African Republic,2022,1218.43422114745
Central African Republic,2023,1259.82439976102
Canada,2015,44669.4513631838
Canada,2016,46470.6466391111
Canada,2017,48317.3874457165
Canada,2018,49982.5999118348
Canada,2019,50498.9731057448
Canada,2020,48590.6832121939
Canada,2021,56575.0175664858
Canada,2022,62733.641579814
Canada,2023,63524.7038742635
Switzerland,2015,65282.5841931923
Switzerland,2016,67350.7518747757
Switzerland,2017,68193.5054944094
Switzerland,2018,70688.8187491194
Switzerland,2019,73732.2353322093
Switzerland,2020,72997.8239503282
Switzerland,2021,80812.5910974037
Switzerland,2022,90214.7562721776
Switzerland,2023,89546.278488259
Chile,2015,22457.8800611733
Chile,2016,23256.5036046897
Chile,2017,24295.2237671304
Chile,2018,25305.0903462611
Chile,2019,25611.7578269458
Chile,2020,25350.8635082972
Chile,2021,29107.3294950456
Chile,2022,30911.4104010224
Chile,2023,32802.8722248605
China,2015,13201.6738280782
China,2016,13882.0280462079
China,2017,14750.3658330379
China,2018,16006.9131210004
China,2019,17262.1759037355
China,2020,17891.4802869971
China,2021,20406.7296584605
China,2022,22509.6363514159
China,2023,24569.2865118726
Cote d'Ivoire,2015,4403.64296618998
Cote d'Ivoire,2016,4530.64849808487
Cote d'Ivoire,2017,4690.17801861096
Cote d'Ivoire,2018,4945.62520575915
Cote d'Ivoire,2019,5516.39055126829
Cote d'Ivoire,2020,5543.85096318939
Cote d'Ivoire,2021,6045.20480490879
Cote d'Ivoire,2022,6707.9479515214
Cote d'Ivoire,2023,7197.690104362
Cameroon,2015,3497.66067563959
Cameroon,2016,3626.99932028578
Cameroon,2017,3767.43072883824
Cameroon,2018,4010.76360069526
Cameroon,2019,4241.11174920592
Cameroon,2020,4365.44704128392
Cameroon,2021,4793.55628200196
Cameroon,2022,5188.97750866084
Cameroon,2023,5405.57465742866
"Congo, Dem. Rep.",2015,859.143482737815
"Congo, Dem. Rep.",2016,913.955559409226
"Congo, Dem. Rep.",2017,1003.25735502912
"Congo, Dem. Rep.",2018,1069.28163391342
"Congo, Dem. Rep.",2019,1167.32061572833
"Congo, Dem. Rep.",2020,1136.00839556367
"Congo, Dem. Rep.",2021,1313.61821829086
"Congo, Dem. Rep.",2022,1484.24116603544
"Congo, Dem. Rep.",2023,1615.75070528392
"Congo, Rep.",2015,4715.13431581624
"Congo, Rep.",2016,4016.04908525318
"Congo, Rep.",2017,4444.63900215824
"Congo, Rep.",2018,5593.19370578686
"Congo, Rep.",2019,5719.59977338291
"Congo, Rep.",2020,4770.96449758365
"Congo, Rep.",2021,6263.21161292636
"Congo, Rep.",2022,6647.49681731392
"Congo, Rep.",2023,6850.27770621093
Colombia,2015,13332.0555048211
Colombia,2016,14026.8399931053
Colombia,2017,14400.6139849314
Colombia,2018,15239.4049488277
Colombia,2019,16181.5908990662
Colombia,2020,15519.2101694656
Colombia,2021,17383.0901728295
Colombia,2022,20677.6225653502
Colombia,2023,20784.4996427902
Comoros,2015,2949.47342240994
Comoros,2016,3139.05160740465
Comoros,2017,3347.45652997483
Comoros,2018,3304.54845189025
Comoros,2019,3312.74957050544
Comoros,2020,3261.59496762745
Comoros,2021,3441.21155585858
Comoros,2022,3709.90007443695
Comoros,2023,3883.12647595233
Кабо-Верде,2015,6773.48679969386
Кабо-Верде,2016,7350.75358726727
Кабо-Верде,2017,7935.76176281072
Кабо-Верде,2018,7916.42115326174
Кабо-Верде,2019,8645.75646859343
Кабо-Верде,2020,6852.57669930355
Кабо-Верде,2021,7685.41921393669
Кабо-Верде,2022,9481.07335405609
Кабо-Верде,2023,10308.6791674628
Costa Rica,2015,17525.1404625145
Costa Rica,2016,19201.7453233396
Costa Rica,2017,20499.3442130778
Costa Rica,2018,21498.0350746836
Costa Rica,2019,23339.6091317787
Costa Rica,2020,22099.8678127394
Costa Rica,2021,23852.9253020002
Costa Rica,2022,25924.7403788443
Costa Rica,2023,28075.1421722141
Curacao,2015,24037.6486252583
Curacao,2016,23649.5914937775
Curacao,2017,24321.7467432044
Curacao,2018,24623.0413085512
Curacao,2019,25396.9967729561
Curacao,2020,21797.0190515902
Curacao,2021,25163.9936597935
Curacao,2022,29275.7201652066
Curacao,2023,32059.7222328263
Cayman Islands,2015,64009.3167970419
Cayman Islands,2016,65680.0748270553
Cayman Islands,2017,68017.6758327335
Cayman Islands,2018,71811.8917405219
Cayman Islands,2019,72697.3672861884
Cayman Islands,2020,66118.6545207023
Cayman Islands,2021,74150.8580949692
Cayman Islands,2022,81803.0976481797
Cayman Islands,2023,86689.2088816425
Cyprus,2015,31930.916015625
Cyprus,2016,35878.59375
Cyprus,2017,38415.203125
Cyprus,2018,40925.36328125
Cyprus,2019,45116.66796875
Cyprus,2020,43353.875
Cyprus,2021,48784.578125
Cyprus,2022,56019.41796875
Cyprus,2023,57213.8203125
Czechia,2015,34102.176988058
Czechia,2016,36445.0485732064
Czechia,2017,39346.0305642572
Czechia,2018,41638.1831076598
Czechia,2019,45614.0171132531
Czechia,2020,44839.4822099456
Czechia,2021,47796.0337408466
Czechia,2022,51709.8373933964
Czechia,2023,53217.4217427742
Germany,2015,48558.4432970969
Germany,2016,51569.9016841198
Germany,2017,54110.2536648815
Germany,2018,56273.0405627015
Germany,2019,59270.7276496985
Germany,2020,58685.8726997709
Germany,2021,62530.7653199241
Germany,2022,67589.8399055417
Germany,2023,69205.8830713936
Djibouti,2015,4263.96288890455
Djibouti,2016,4431.56588556176
Djibouti,2017,4676.71336058903
Djibouti,2018,5083.11438886705
Djibouti,2019,5398.00419189126
Djibouti,2020,5599.10076126003
Djibouti,2021,5947.86088370479
Djibouti,2022,6517.37589344039
Djibouti,2023,7103.6910898466
Dominica,2015,11212.6835140893
Dominica,2016,12174.2434963099
Dominica,2017,11754.0766098858
Dominica,2018,13307.451499265
Dominica,2019,15206.9011569294
Dominica,2020,13577.826654652
Dominica,2021,15594.2853457545
Dominica,2022,17738.1144882758
Dominica,2023,19333.7646058722
Denmark,2015,48910.3324371901
Denmark,2016,51820.9521305488
Denmark,2017,55271.5976002662
Denmark,2018,57233.6231685615
Denmark,2019,60594.9664001912
Denmark,2020,62682.2899474389
Denmark,2021,69715.1809680931
Denmark,2022,77400.3348008883
Denmark,2023,73737.4475447105
Dominican Republic,2015,14845.4106308462
Dominican Republic,2016,16314.8920957459
Dominican Republic,2017,17043.8723098219
Dominican Republic,2018,18113.539179722
Dominican Republic,2019,19721.360927265
Dominican Republic,2020,19070.3811777135
Dominican Republic,2021,21912.2589614037
Dominican Republic,2022,24379.8733515798
Dominican Republic,2023,25624.0097724218
Algeria,2015,13807.3515841478
Algeria,2016,13437.8460232169
Algeria,2017,13493.560749484
Algeria,2018,13727.1266357859
Algeria,2019,13892.5333446205
Algeria,2020,12676.5130564294
Algeria,2021,14496.8654697299
Algeria,2022,15836.0944368871
Algeria,2023,16824.4879032987
Восточная Азия и Тихоокеанский регион (только развивающиеся страны),2015,11970.6431002047
Восточная Азия и Тихоокеанский регион (только развивающиеся страны),2016,12557.4684751084
Восточная Азия и Тихоокеанский регион (только развивающиеся страны),2017,13306.2712349399
Восточная Азия и Тихоокеанский регион (только развивающиеся страны),2018,14393.8238896544
Восточная Азия и Тихоокеанский регион (только развивающиеся страны),2019,15457.1466634341
Восточная Азия и Тихоокеанский регион (только развивающиеся страны),2020,15763.5197910972
Восточная Азия и Тихоокеанский регион (только развивающиеся страны),2021,17676.4470634892
Восточная Азия и Тихоокеанский регион (только развивающиеся страны),2022,19575.97008976
Восточная Азия и Тихоокеанский регион (только развивающиеся страны),2023,21258.2478369775
Восточная Азия и Тихоокеанский регион (все уровни дохода),2015,15275.806807329
Восточная Азия и Тихоокеанский регион (все уровни дохода),2016,15837.0432798432
Восточная Азия и Тихоокеанский регион (все уровни дохода),2017,16626.3498956177
Восточная Азия и Тихоокеанский регион (все уровни дохода),2018,17732.6356498084
Восточная Азия и Тихоокеанский регион (все уровни дохода),2019,18787.1073890843
Восточная Азия и Тихоокеанский регион (все уровни дохода),2020,19092.4445105401
Восточная Азия и Тихоокеанский регион (все уровни дохода),2021,21167.8811151034
Восточная Азия и Тихоокеанский регион (все уровни дохода),2022,23280.8744601398
Восточная Азия и Тихоокеанский регион (все уровни дохода),2023,25067.3934710428
Европа и Центральная Азия (только развивающиеся страны),2015,16059.4508308533
Европа и Центральная Азия (только развивающиеся страны),2016,16652.2329795977
Европа и Центральная Азия (только развивающиеся страны),2017,17590.911873326
Европа и Центральная Азия (только развивающиеся страны),2018,18188.7166480002
Европа и Центральная Азия (только развивающиеся страны),2019,19259.8791952071
Европа и Центральная Азия (только развивающиеся страны),2020,19587.5833469025
Европа и Центральная Азия (только развивающиеся страны),2021,21838.4617838384
Европа и Центральная Азия (только развивающиеся страны),2022,24920.9905957066
