Country Name,Year,Area,Sex,Religion,Record Type,Reliability,Source Year,Value,Value Footnotes
Montenegro,2003,Total,Male,Christian Orthodox,Census - de jure - complete tabulation,"Final figure, complete",2009.0,225865.0,
Indonesia,2010,Total,Male,Muslim,Census - de jure - complete tabulation,"Final figure, complete",2015.0,104195783.0,
Fiji,1996,Total,Both Sexes,Christian,Census - de facto - complete tabulation,"Final figure, complete",2003.0,449482.0,
Czechia,2001,Total,Male,No Religion,Census - de jure - complete tabulation,"Final figure, complete",2009.0,3099810.0,
Gibraltar,2012,Total,Male,Roman Catholic,Census - de jure - complete tabulation,"Final figure, complete",2015.0,11208.0,27
Iran (Islamic Republic of),2016,Total,Male,Muslim,Census - de jure - complete tabulation,"Final figure, complete",2017.0,40325076.0,
Ireland,2011,Total,Male,Roman Catholic,Census - de facto - complete tabulation,"Final figure, complete",2012.0,1884192.0,
Dominica,2001,Total,Male,Roman Catholic,Census - de facto - complete tabulation,"Final figure, complete",2004.0,20708.0,21
Ethiopia,2007,Total,Male,Orthodox,Census - de facto - complete tabulation,"Final figure, complete",2010.0,16028939.0,
Kazakhstan,2021,Total,Male,Islam ,Census - de facto - complete tabulation,"Final figure, complete",2024.0,6457869.0,
Côte d'Ivoire,2014,Total,Male,Muslim,Census - de jure - complete tabulation,"Final figure, complete",2016.0,5053594.0,
New Zealand,2018,Total,Male,No Religion,Census - de jure - complete tabulation,"Final figure, complete",2021.0,1171326.0,"3,50,51,52"
Slovakia,2001,Total,Male,Roman Catholic,Census - de jure - complete tabulation,"Final figure, complete",2009.0,1760553.0,
State of Palestine,2007,Total,Male,Islam ,Census - de facto - complete tabulation,"Final figure, complete",2013.0,1811134.0,70
Kenya,2019,Total,Male,Protestant,Census - de facto - complete tabulation,"Final figure, complete",2020.0,7565028.0,
Bermuda,2010,Total,Male,,Census - de jure - complete tabulation,"Final figure, complete",2011.0,6460.0,
Germany,2011,Total,Male,Other,Census - de jure - complete tabulation,"Final figure, complete",2014.0,17315665.0,25
Timor-Leste,2015,Total,Male,Catholic,Census - de jure - complete tabulation,"Final figure, complete",2019.0,584209.0,
Tuvalu,2017,Total,Male,Ekalesia Kelisiano Tuvalu,Census - de jure - complete tabulation,"Final figure, complete",2021.0,4660.0,"51,103"
Sao Tome and Principe,2012,Total,Male,Roman Apostolic Catholic,Census - de jure - complete tabulation,"Final figure, complete",2016.0,47052.0,
Malawi,2018,Total,Male,Christian,Census - de jure - complete tabulation,"Final figure, complete",2019.0,6481670.0,
Armenia,2011,Total,Male,Armenian Apostolic,Census - de jure - complete tabulation,"Final figure, complete",2013.0,1342448.0,
Anguilla,2001,Total,Male,Anglican,Census - de facto - complete tabulation,"Final figure, complete",2003.0,1647.0,
Myanmar,2014,Total,Both Sexes,Buddhist,Census - de facto - complete tabulation,"Final figure, complete",2017.0,45185449.0,49
Israel,2022,Total,Male,Jewish,Census - de jure - complete tabulation,"Final figure, complete",2024.0,3459166.0,"1,36"
Bulgaria,2001,Total,Male,Eastern Orthodox,Census - de jure - complete tabulation,"Final figure, complete",2003.0,3169480.0,
Seychelles,2002,Total,Male,Roman Catholic,Census - de jure - complete tabulation,"Final figure, complete",2005.0,33126.0,
Montserrat,2001,Total,Male,Anglican,Census - de facto - complete tabulation,"Final figure, complete",2004.0,494.0,
Trinidad and Tobago,2011,Total,Male,Roman Catholic,Census - de jure - complete tabulation,"Final figure, complete",2014.0,142576.0,102
British Virgin Islands,2010,Total,Both Sexes,Methodist,Census - de facto - complete tabulation,"Final figure, complete",2016.0,4941.0,
Singapore,2000,Total,Male,Buddhist,Census - de jure - complete tabulation,"Final figure, complete",2003.0,521253.0,81
Zambia,2010,Total,Male,Protestant,Census - de facto - complete tabulation,"Final figure, complete",2015.0,4567759.0,
Republic of Moldova,2004,Total,Male,Orthodox,Census - de facto - complete tabulation,"Final figure, complete",2009.0,1518737.0,73
North Macedonia,2002,Total,Male,Orthodox,Census - de jure - complete tabulation,"Final figure, complete",2003.0,654630.0,
Suriname,2004,Total,Male,Christian,Census - de jure - complete tabulation,"Final figure, complete",2007.0,99324.0,90
